1,1;2,4,5,6,7,8;2;1,2,3,4;1,2
1,2;2,3,10;2;1,2,3,4;2
1,3;2,3,7,10;2;1,2,4;2
1,4;4,5,9;2;1,3,4;2,3
1,5;2,3,10;2;1,3,4;2,3
2,1;9,10,11;1,2;1,2,3,4;1,2
2,2;3,10;1,2;1,2,4;2
2,3;3,10;1,2;2,4;2
2,4;9,11;2;1,3,4;2,3
2,5;8,9,10;1,2;3,4;2
3,1;1,3,5,7;1,6;1,2,3,4;1,2
3,2;1,3,5,7;1,6;1,2,3,4;2
3,3;2,3,7,10;1,6;1,2,4;2
3,4;5,9,10,11;1,6;1,3,4;2,3
3,5;3,5,9,10;1,6;1,3,4;2,3
4,1;4,5,6,7,8,9,10,11;1,3,4;1,2,3,4;1,2
4,2;1,2,3,9,10,11;1,3,4;1,2,4;2
4,3;1,2,3,9,10,11;1,3;1,2,4;2
4,4;4,5,6,7,8,9,10,11;1,4;1,3,4;2,3
4,5;1,2,3,9,10,11;1;1,3,4;2,3
5,1;4,5,6,7,8,9,10,11;1,3,4;1,2,3,4;1,2
5,2;1,2,3,9,10,11;1,3,4;1,2,4;2
5,3;1,2,3,9,10,11;1,3;1,2,4;2
5,4;4,5,6,7,8,9,10,11;1,4;1,3,4;2,3
5,5;1,2,3,9,10,11;1;1,3,4;2,3
